His Theme
music/His_Theme.mp3
0

# Format: <time_in_seconds>,<column_index>
# Columns are 0-3 from left to right
# D, F, J, K keys

1.1,0
1.7,1
2.3,2
2.9,3
3.5,0
3.8,1
4.1,2
4.4,3
5.0,1
5.3,2
5.6,0
5.9,3
6.5,0
6.8,1
7.1,2
7.4,3
8.0,0
8.0,3
8.6,1
8.6,2
9.2,0
9.2,3
9.8,1
9.8,2
10.4,0
10.7,1
11.0,2
11.3,3
11.9,0
11.9,3
12.5,1
12.5,2
13.1,0
13.4,1
13.7,2
14.0,3
14.6,0
14.9,1
15.2,2
15.5,3
16.1,0
16.1,3
16.7,1
16.7,2
17.3,0
17.6,1
17.9,2
18.2,3
18.8,0
18.8,3
19.4,1
19.4,2
20.0,0
20.3,1
20.6,2
20.9,3
21.5,0
21.5,3
22.1,1
22.1,2
22.7,0
23.0,1
23.3,2
23.6,3
24.2,0
24.5,1
24.8,2
25.1,3
25.7,0
25.7,1
26.3,2
26.3,3
26.9,0
27.2,1
27.5,2
27.8,3
28.4,0
28.4,3
29.0,1
29.0,2
29.6,0
29.9,1
30.2,2
30.5,3
31.1,0
31.1,3
31.7,1
31.7,2
32.3,0
32.6,1
32.9,2
33.2,3
33.8,0
33.8,3
